NO;SECTION;TOTAL
1;Grand Annual Chief;6
2;Secretary;8
3;Financy;6
4;Data;6
5;Documantation;10
6;Annual Protocol;19
7;Creative Team;9
8;Field Equipment;23
9;Auditorium Equipment;
10;Decoration;19
11;Buffet Consumption;15
12;General Consumption;18
13;Snack;17
14;Reception & Coffe Break;13
15;Mc;6
16;CID;10
17;Conductor & Jinggle;6
18;Health;10
19;Qira'atu-l-Qur'an;4
20;Flag Ceremony;11
21;Agility Chief;5
22;Rebana Trainer;13
23;Rebana Costume;
24;Saman Trainer;10
25;Saman Costume;
26;Combination Dance Trainer;14
27;Combination Dance Costume;
28;Angklung & Choir;11
29;Live Music;4
30;Parade;16
31;Building Miniature;11
32;Vihicle Parade;8
33;Final Grade Icon;14
TOTAL;;322
